Number of Classes,K3D,iCaRL,BiC,WA,Coil,RMM,MRDC,FOSTER,MEMO
20,87.92285,86.72097,87.67872,86.72097,86.88059,87.83834,85.92285,85.28435,87.35947
40,81.11676,78.52693,79.53789,78.36731,76.61144,81.93225,80.01676,76.93069,79.21864
60,78.60768,73.89783,75.97295,74.53633,69.74761,80.33601,78.20768,73.09971,75.49407
80,75.83445,66.82116,71.82272,68.09816,60.22337,75.97295,75.33445,70.70535,71.6631
100,73.80347,61.39394,66.98079,64.74605,53.19991,73.73821,71.50347,68.57703,68.57703
