Number of Classes,K3D,iCaRL,BiC,WA,Coil,RMM,MRDC,FOSTER,MEMO
20,81.53719,80.67328,80.82928,80.67328,81.29726,81.29726,80.51729,79.89332,81.60924
40,75.56147,73.4456,71.2617,73.28961,72.19765,74.69355,74.69355,73.60159,74.22557
60,70.73968,66.6859,65.43795,67.51786,62.94206,70.63772,69.85776,66.99788,68.60981
80,65.99584,59.6662,59.8222,62.63007,53.21849,65.59394,65.12596,61.22613,64.50199
100,62.88802,54.15444,55.87037,57.89828,45.52282,61.53812,62.31809,58.05427,60.91415
