Number of Classes,K3D,iCaRL,BiC,WA,Coil,RMM,MRDC,FOSTER,MEMO
50,84.47991,84.47136,84.12556,84.51225,84.6758,83.61273,84.18586,83.74138,83.31289
100,78.97884,74.50851,76.26666,75.46254,67.36687,79.53764,78.88397,75.41438,75.61246
