Number of Classes,K3D,iCaRL,BiC,WA,Coil,RMM,MRDC,FOSTER,MEMO
10,87.7548,87.12216,86.54224,86.964,87.59664,87.28032,87.7548,85.17152,87.7548
20,84.67529,80.95393,80.63761,81.58657,80.53217,80.95393,84.27529,79.63593,82.64097
30,80.67401,75.26018,74.78571,75.52378,74.36395,78.42338,80.37401,73.88947,75.10202
40,76.93593,71.20075,72.41331,72.09699,65.45428,76.57818,75.33593,69.83004,72.99323
50,74.30706,67.56308,69.25012,68.9338,62.76557,73.88947,73.00706,68.19572,70.14635
60,71.98194,63.97813,64.29445,66.08692,58.8643,71.46435,71.68194,65.61244,69.40828
70,69.97691,59.44422,59.28606,61.23669,52.69607,69.83004,69.67691,63.34549,65.03253
80,68.93883,56.12286,53.59231,59.02246,49.21656,68.77564,68.93883,62.60741,64.71621
90,66.91372,53.01239,47.10776,57.17726,44.73537,66.35052,66.51372,61.39485,63.08189
100,64.35052,50.42912,42.89017,55.06847,41.25585,65.45428,63.35052,60.34045,61.13125
