Number of Classes,K3D,iCaRL,BiC,WA,Coil,RMM,MRDC,FOSTER,MEMO
50,85.9607,86.07228,85.75293,86.07228,85.90321,85.99714,85.29417,84.39004,85.41479
60,82.81521,67.81291,79.27198,70.76221,71.98326,81.24444,81.22562,77.72809,81.808
70,79.81181,63.79284,70.42407,67.0615,62.23366,73.71151,77.96602,66.80724,79.7604
80,78.07028,62.23366,66.98635,66.57308,58.38266,73.05402,75.96743,64.9752,77.80672
90,75.57239,59.20922,60.27998,63.54863,54.62559,70.66828,73.1361,63.64281,75.34584
100,72.95572,58.30752,54.70073,60.7684,49.04634,69.93565,70.70924,62.71489,72.9601
