Number of Classes,K3D,iCaRL,BiC,WA,Coil,RMM,MRDC,FOSTER,MEMO
50,84.78569,84.38141,85.00933,85.42073,84.44636,84.92272,85.46708,84.23261,83.40704
75,79.34973,69.67926,77.0195,68.07696,62.55553,78.77337,79.15231,75.16403,77.10611
100,74.92746,63.74643,72.14766,58.72302,51.36111,76.39158,74.90289,68.58812,72.8622
