Number of Classes,K3D,iCaRL,BiC,WA,Coil,RMM,MRDC,FOSTER,MEMO
50,76.53082,75.84493,74.58748,76.87376,76.78231,76.27933,76.42813,76.69215,77.12525
75,71.4493,64.64214,65.80815,66.40258,62.85884,70.4493,70.71554,70.04347,71.29523
100,65.14513,57.55467,59.81809,61.41848,50.97017,64.39065,64.93095,62.4107,65.8996
