Number of Classes,K3D,iCaRL,BiC,WA,Coil,RMM,MRDC,FOSTER,MEMO
50,76.51894582,76.58006053,76.32688027,76.83324078,76.58006053,76.67212607,76.42413,76.75918,77.27055213
100,67.38747308,61.38924531,64.35835919,64.8647197,60.10032765,64.42740835,67.47349,67.54529,66.38380122
